Seq,r,c,Ref B,Ref G,Ref R,Target B,Target G,Target B,Perceptibility,Curr Tot Min SLM,Target Tot Min SLM,Hard Decoding Errors,Soft Decoding Errors,Loc Mag,Loc Mag Ratio,Mean Pilot Mag
0,2,4,50.82555555555555,139.07,179.23444444444445,13.080561801473133,35.791320131119114,46.12811806740775,8.679082337300647,100,95,0/1044,0/512,-,-,-
0,2,5,50.894444444444446,139.19,179.2111111111111,13.092419200519908,35.80614443113916,46.10143636834092,8.979085485173933,100,95,0/1044,0/512,-,-,-
0,2,6,49.77,139.34666666666666,181.05444444444444,12.772876807722556,35.76165977295785,46.46546341931959,8.952927687660953,100,95,0/1044,0/512,-,-,-
0,2,7,48.836666666666666,139.54888888888888,181.3411111111111,12.54841414378189,35.85660878607018,46.594977070147905,8.92113746169411,100,95,0/1044,0/512,-,-,-
0,2,8,47.861111111111114,139.61333333333334,181.42333333333335,12.325380713717742,35.95377219826028,46.720847088021976,9.159844317141104,100,95,0/1044,0/512,-,-,-
0,2,9,46.67444444444445,139.1288888888889,180.55444444444444,12.103120204293315,36.07742279860004,46.81945699710666,9.255852500368999,100,95,0/1044,0/512,-,-,-
0,2,10,47.01222222222222,139.6988888888889,181.23888888888888,12.137956546028294,36.0684724675756,46.79357098639609,9.10037626865269,100,95,0/1044,0/512,-,-,-
0,2,11,47.21,139.86555555555555,181.34222222222223,12.173543923565035,36.065653123265854,46.76080295316911,9.365454691679153,100,95,0/1044,0/512,-,-,-
0,2,12,47.21333333333333,140.0511111111111,181.63222222222223,12.158599065682349,36.066619077308616,46.77478185700904,9.69459657492582,100,95,0/1044,0/512,-,-,-
0,2,13,47.032222222222224,139.90444444444444,181.44,12.129055706870082,36.07970706312078,46.79123723000914,9.568196930331565,100,95,0/1044,0/512,-,-,-
0,2,14,47.20444444444444,139.94222222222223,181.69666666666666,12.158067713181445,36.04378854015104,46.798143746667506,9.465961105067532,100,95,0/1044,0/512,-,-,-
0,3,0,56.87444444444444,144.0611111111111,180.0911111111111,14.18029942494547,35.91823552740549,44.90146504764905,7.324125714143614,100,95,0/1044,0/512,-,-,-
