Seq,r,c,Ref B,Ref G,Ref R,Target B,Target G,Target B,Perceptibility,Curr Tot Min SLM,Target Tot Min SLM,Hard Decoding Errors,Soft Decoding Errors,Loc Mag,Loc Mag Ratio,Mean Pilot Mag
0,3,7,45.617777777777775,137.4911111111111,179.81333333333333,14.455010256253253,43.567124881364236,56.97786486238251,9.519992760072277,120,115,0/1044,0/512,-,-,-
0,3,8,45.74,137.13555555555556,180.8088888888889,14.463362622053307,43.363385841205435,57.173251536741255,9.607450235212445,120,115,0/1044,0/512,-,-,-
0,3,9,45.24666666666667,136.80777777777777,180.84666666666666,14.33824947720683,43.353117316930536,57.30863320586263,9.899837383102417,120,115,0/1044,0/512,-,-,-
0,3,10,45.5,137.90222222222224,180.58444444444444,14.375526576065058,43.56960572426341,57.05486769967154,9.587555344855804,120,115,0/1044,0/512,-,-,-
0,3,11,45.90555555555556,138.79555555555555,180.42222222222222,14.458508692648756,43.71533515311417,56.826156154237076,9.69058391327656,120,115,0/1044,0/512,-,-,-
0,3,12,45.99111111111111,138.74444444444444,180.84666666666666,14.467272904104261,43.64438460416262,56.888342491733134,9.832457582045558,120,115,0/1044,0/512,-,-,-
0,3,13,45.85333333333333,137.88,181.76555555555555,14.427221240982645,43.3823480235538,57.19043073546356,9.92022512565387,120,115,0/1044,0/512,-,-,-
0,3,14,45.93333333333333,137.88,182.07444444444445,14.437031390924357,43.33623849449892,57.226730114576725,9.90545613382925,120,115,0/1044,0/512,-,-,-
0,4,0,51.80444444444444,139.99555555555557,179.93555555555557,16.026207399525347,43.3089830883364,55.664809512138255,8.392792193755096,120,115,0/1044,0/512,-,-,-
0,4,1,51.717777777777776,140.19333333333333,180.48666666666668,15.97094504681374,43.29304387781285,55.73601107537341,8.39029438406062,120,115,0/1044,0/512,-,-,-
0,4,2,51.867777777777775,139.84222222222223,181.59222222222223,15.978459514483351,43.079988808591196,55.941551676925464,9.104900723170022,120,115,0/1044,0/512,-,-,-
0,4,3,50.67111111111111,140.34555555555556,182.23666666666668,15.611857302755352,43.24070931866353,56.14743337858113,8.709008795831746,120,115,0/1044,0/512,-,-,-
0,4,4,49.47,141.0988888888889,182.74444444444444,15.23934317909888,43.46582555017829,56.29483127072284,8.873441468656308,120,115,0/1044,0/512,-,-,-
0,4,5,49.65777777777778,141.64444444444445,183.74666666666667,15.226400113762946,43.431967387955346,56.341632498281704,8.590259052389916,120,115,0/1044,0/512,-,-,-
0,4,6,49.98222222222222,142.50222222222223,184.29333333333332,15.25555883220289,43.494485402536135,56.249955765260985,8.623970174198238,120,115,0/1044,0/512,-,-,-
0,4,7,50.193333333333335,142.5211111111111,185.32222222222222,15.268977436051179,43.35539174624449,56.37563081770435,8.812802709394767,120,115,0/1044,0/512,-,-,-
0,4,8,49.34222222222222,142.38666666666666,186.0688888888889,15.0195577881171,43.34188190036998,56.63856031151292,8.839959912569565,120,115,0/1044,0/512,-,-,-
0,4,9,48.50111111111111,141.23444444444445,184.9711111111111,14.885317700364137,43.3458023461315,56.768879953504374,9.39251542164539,120,115,0/1044,0/512,-,-,-
0,4,10,46.897777777777776,143.30666666666667,185.23888888888888,14.36500255993655,43.895483561656,56.73951387840745,8.869853258723502,120,115,0/1044,0/512,-,-,-
0,4,11,47.19222222222222,143.21444444444444,184.88555555555556,14.461012603511929,43.884898582734046,56.65408881375402,9.212095515393756,120,115,0/1044,0/512,-,-,-
0,4,12,46.72555555555556,143.7888888888889,185.0222222222222,14.308693040774243,44.03224422530128,56.659062733924486,9.08978166143413,120,115,0/1044,0/512,-,-,-
0,4,13,45.79555555555555,143.07333333333332,185.87222222222223,14.053672609534878,43.90613371601728,57.04019367444785,8.90301043872836,120,115,0/1044,0/512,-,-,-
0,4,14,45.903333333333336,143.06333333333333,186.37555555555556,14.064187349026668,43.83275410884289,57.10305854213044,9.018762934671974,120,115,0/1044,0/512,-,-,-
0,5,0,54.66777777777778,143.38777777777779,183.79444444444445,16.464042017662546,43.18343444924563,55.35252353309181,8.142585653712285,120,115,0/1044,0/512,-,-,-
0,5,1,53.76444444444444,144.34,184.06222222222223,16.178572466928333,43.43419101613607,55.3872365169356,7.982934808232824,120,115,0/1044,0/512,-,-,-
